"No.","Time","Source","Destination","Protocol","Length","Info"
"2871","32.147441","1.6.3","host","USBCOM","35","URB_BULK in"
"2875","32.339628","host","1.6.4","USBCOM","28","URB_BULK out"
"2877","32.344324","1.6.3","host","USBCOM","75","URB_BULK in"
"2881","32.348142","1.6.3","host","USBCOM","33","URB_BULK in"
"2885","32.540723","host","1.6.4","USBCOM","28","URB_BULK out"
"2887","32.544979","1.6.3","host","USBCOM","70","URB_BULK in"
"2891","32.548847","1.6.3","host","USBCOM","38","URB_BULK in"
"2895","32.741545","host","1.6.4","USBCOM","28","URB_BULK out"
"2897","32.745641","1.6.3","host","USBCOM","68","URB_BULK in"
"2901","32.749575","1.6.3","host","USBCOM","40","URB_BULK in"
"2905","32.942640","host","1.6.4","USBCOM","28","URB_BULK out"
"2907","32.946322","1.6.3","host","USBCOM","64","URB_BULK in"
"2911","32.950265","1.6.3","host","USBCOM","44","URB_BULK in"
"2915","33.143180","host","1.6.4","USBCOM","28","URB_BULK out"
"2917","33.147039","1.6.3","host","USBCOM","66","URB_BULK in"
"2921","33.150932","1.6.3","host","USBCOM","42","URB_BULK in"
"2927","33.344024","host","1.6.4","USBCOM","28","URB_BULK out"
"2929","33.347685","1.6.3","host","USBCOM","64","URB_BULK in"
"2933","33.351649","1.6.3","host","USBCOM","44","URB_BULK in"
"2939","33.437895","host","1.6.4","USBCOM","28","URB_BULK out"
"2941","33.438082","host","1.6.4","USBCOM","28","URB_BULK out"
"2943","33.438182","host","1.6.4","USBCOM","28","URB_BULK out"
"2945","33.438282","host","1.6.4","USBCOM","30","URB_BULK out"
"2947","33.438366","host","1.6.4","USBCOM","28","URB_BULK out"
"2949","33.438474","host","1.6.4","USBCOM","31","URB_BULK out"
"2951","33.438555","host","1.6.4","USBCOM","28","URB_BULK out"
"2953","33.438986","host","1.6.4","USBCOM","28","URB_BULK out"
"2955","33.439229","host","1.6.4","USBCOM","28","URB_BULK out"
"2957","33.439467","host","1.6.4","USBCOM","28","URB_BULK out"
"2959","33.439713","host","1.6.4","USBCOM","28","URB_BULK out"
"2961","33.439978","host","1.6.4","USBCOM","33","URB_BULK out"
"2963","33.440155","host","1.6.4","USBCOM","46","URB_BULK out"
"2965","33.440565","host","1.6.4","USBCOM","28","URB_BULK out"
"2966","33.442062","1.6.3","host","USBCOM","69","URB_BULK in"
"2971","33.442249","host","1.6.4","USBCOM","40","URB_BULK out"
"2973","33.442361","host","1.6.4","USBCOM","56","URB_BULK out"
"2975","33.443425","host","1.6.4","USBCOM","52","URB_BULK out"
"2979","33.446077","host","1.6.4","USBCOM","52","URB_BULK out"
"2983","33.448146","host","1.6.4","USBCOM","33","URB_BULK out"
"2989","33.450433","host","1.6.4","USBCOM","28","URB_BULK out"
"2991","33.450800","host","1.6.4","USBCOM","28","URB_BULK out"
"2993","33.450972","host","1.6.4","USBCOM","28","URB_BULK out"
"2995","33.451170","host","1.6.4","USBCOM","28","URB_BULK out"
"2997","33.451336","host","1.6.4","USBCOM","28","URB_BULK out"
"2999","33.451501","host","1.6.4","USBCOM","28","URB_BULK out"
"3001","33.451599","host","1.6.4","USBCOM","28","URB_BULK out"
"3003","33.451795","host","1.6.4","USBCOM","28","URB_BULK out"
"3005","33.451991","host","1.6.4","USBCOM","33","URB_BULK out"
"3007","33.544758","host","1.6.4","USBCOM","28","URB_BULK out"
"3009","33.548412","1.6.3","host","USBCOM","63","URB_BULK in"
"3013","33.552314","1.6.3","host","USBCOM","44","URB_BULK in"
"3017","33.746013","host","1.6.4","USBCOM","28","URB_BULK out"
"3019","33.749022","1.6.3","host","USBCOM","56","URB_BULK in"
"3023","33.753083","1.6.3","host","USBCOM","51","URB_BULK in"
"3027","33.946839","host","1.6.4","USBCOM","28","URB_BULK out"
